,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
10,2014-49-78,"Leonard Baskin, American, 1922 - 2000","© The Estate of Leonard Baskin, Courtesy Galerie St. Etienne, New York","Gift of Marc and Mi-Young Mostovoy in memory of Ira and Floretta Mostovoy, 2014","Prints, Drawings, and Photographs",c. 1970,"Plate: 17 7/8 × 14 5/8 inches (45.4 × 37.1 cm)
Sheet: 29 3/4 × 22 1/8 inches (75.6 × 56.2 cm)",,328530,Currently not on view,Etching,,Watteau,http://www.philamuseum.org/collections/permanent/328530.html
11,1985-52-24875,"Francesco Cozza, Italian, 1605 - 1682",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Mid- 17th century,Sheet: 11 15/16 x 8 1/2 inches (30.4 x 21.6 cm),"Made in Rome, Italy, Europe",25739,Currently not on view,Etching,,Madonna with the Sleeping Christ Child Adored by Angels,http://www.philamuseum.org/collections/permanent/25739.html
12,1965-86-8378,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","December 29, 1958",Image and sheet: 9 15/16 × 7 15/16 inches (25.2 × 20.2 cm),"Photograph taken in New York, New York, United States, North and Central America",245092,Currently not on view,Gelatin silver print,,Shelley Scott,http://www.philamuseum.org/collections/permanent/245092.html
13,1973-246-214,"Clarence John Laughlin, American, 1905 - 1985",,"Purchased with funds contributed by Dorothy Norman, 1973","Prints, Drawings, and Photographs",1965 (negative); 1973 (print),"Image and sheet: 13 3/4 × 10 11/16 inches (34.9 × 27.1 cm)
Mount: 20 × 16 inches (50.8 × 40.7 cm)","Photograph taken in Paris, France, Europe",148268,Currently not on view,Gelatin silver print,,"The Ages of Man, No.1, Paris, France",http://www.philamuseum.org/collections/permanent/148268.html
14,1990-51-80,"Daido Moriyama, Japanese, born 1938",,"Purchased with funds contributed by the E. Rhodes and Leona B. Carpenter Foundation, 1990","Prints, Drawings, and Photographs",1981,"Image: 7 3/4 x 11 13/16 inches (19.7 x 30 cm)
Sheet: 10 × 12 1/8 inches (25.4 × 30.8 cm)","Photograph taken in Japan, Asia",150427,Currently not on view,Gelatin silver print,,"On the Road (Chair), from the series Light and Shadow",http://www.philamuseum.org/collections/permanent/150427.html
15,1978-70-123,"Probably manufactured by Stabilimento Stefano Johnson, Milan, 1836 - late 20th century?",,"Bequest of Anthony Morris Clark, 1978",European Decorative Arts and Sculpture,c. 1878-1903,Diameter: 1 9/16 inches (3.9 cm),"Made in Rome, Italy, Europe",255281,Currently not on view,Gilded bronze,,Obverse: Portrait Medal of Leo XIII; reverse: Christ in majesty,http://www.philamuseum.org/collections/permanent/255281.html
16,"2009-87-3a,b","Artist/maker unknown, Netherlandish",,"Purchased with the Fiske Kimball Fund, 2009",European Decorative Arts and Sculpture,c. 1695-1715,Height: 10 13/16 inches (27.5 cm),"Made in Delft, Netherlands, Europe",306815,Currently not on view,Tin-glazed earthenware with polychrome decoration,,Covered Jar,http://www.philamuseum.org/collections/permanent/306815.html
17,1962-203-10(43),"Pierre Bourdelle, American (born France), 1901 - 1966. Printed by Albert Carman, American, 1899 - 1949. Published by American Studio Books, NY & London.",,"Gift of Titus C. Geesey, 1962","Prints, Drawings, and Photographs",1945,"Image: 10 9/16 × 14 3/4 inches (26.8 × 37.5 cm)
Sheet: 13 x 17 inches (33 x 43.2 cm)","Made in New York, New York, United States, North and Central America",224478,Currently not on view,Lithograph (reproduction),From the portfolio War,The Sangro Valley,http://www.philamuseum.org/collections/permanent/224478.html
18,1985-61-33,"Charles Pratt, American, 1926 - 1976",,"Gift of Julie Pratt, 1985","Prints, Drawings, and Photographs",1964,Image/Sheet/Mount: 13 7/16 × 10 13/16 inches (34.1 × 27.4 cm),"Photograph taken in Roxbury, Connecticut, United States, North and Central America",81931,Currently not on view,Gelatin silver print,,"Roxbury, Connecticut",http://www.philamuseum.org/collections/permanent/81931.html
19,1945-65-22(189b),"Artist/maker unknown, Indian",,"The Philip S. Collins Collection, gift of Mrs. Philip S. Collins in memory of her husband, 1945",South Asian Art,1743,14 × 10 inches (35.6 × 25.4 cm),"Made in Deccan Region, India, Asia Possibly made in Hyderabad, Telangana, India, Asia",338723,Currently not on view,"Opaque watercolor, gold, and ink on paper",Gulshan-i 'Ishq (Rose Garden of Love)Chander Sen explaining the situation to Dharam Raj and Sarika,Chandersen Converses With Madhumalati's Mother and Father,http://www.philamuseum.org/collections/permanent/338723.html
20,1982-47-33,"Danny Lyon, American, born 1942",,"Purchased with the Lola Downin Peck Fund and the Alice Newton Osborn Fund, 1982","Prints, Drawings, and Photographs",1967,"Image: 8 11/16 × 12 3/8 inches (22 × 31.5 cm)
Sheet: 10 15/16 × 14 inches (27.8 × 35.6 cm)","Photograph taken in Knoxville, Tennessee, United States, North and Central America",149162,Currently not on view,Gelatin silver print,,"Railroad Station near James Agee's Home, Knoxville",http://www.philamuseum.org/collections/permanent/149162.html
21,1969-230-1,"Artist/maker unknown, Chinese",,"Gift of the estate of Dr. Eula Eno, 1969",East Asian Art,20th century,19 3/8 × 6 5/16 × 1/2 inches (49.2 × 16 × 1.3 cm),"Made in China, Asia Period: Republican Period (1912-1949)",65309,Currently not on view,Iron,,Iron Landscape,http://www.philamuseum.org/collections/permanent/65309.html
22,1985-52-26332,"Jean Baptiste Raphael Urbain Massard, French, 1775 - 1843. After Charles Paul Landon, French, 1760 - 1823.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Early 19th century,Sheet: 14 11/16 x 22 1/2 inches (37.3 x 57.1 cm),,5840,Currently not on view,Engraving,,Forgiveness,http://www.philamuseum.org/collections/permanent/5840.html
23,2017-2-6,"Barbara Crane, American, born 1928",© Barbara Crane,"Purchased with funds contributed by Focus: Friends of Photography, 2017","Prints, Drawings, and Photographs",1970-1971 (negative and print),"Image: 10 3/8 × 7 1/16 inches (26.4 × 18 cm)
Sheet: 14 × 10 7/8 inches (35.5 × 27.7 cm)","Photograph taken in Chicago, Illinois, United States, North and Central America",339429,Currently not on view,Gelatin silver print,,People of the North Portal,http://www.philamuseum.org/collections/permanent/339429.html
24,P1963-121-6,"Artist/maker unknown, American",,"Gift of Mrs. Mary E. Stees, 1963",American Art,Late 19th century,2 1/2 × 3 3/4 × 3/8 inches (6.4 × 9.5 × 1 cm),"Made in United States, North and Central America",192766,Currently not on view,Mother-of-pearl,,Card Case,http://www.philamuseum.org/collections/permanent/192766.html
25,2011-191-1,"Vincent Cianni, American, born 1952",© Vincent Cianni. All rights reserved.,"Gift of Anatole Pohorilenko, 2011","Prints, Drawings, and Photographs",1986 (negative); 1986 (print),"Image: 11 7/8 x 18 inches (30.2 x 45.7 cm)
Sheet: 15 13/16 x 19 7/8 inches (40.2 x 50.5 cm)","Photograph taken in New Hope, Pennsylvania, United States, North and Central America",321266,Currently not on view,Gelatin silver print,,"Danae and Groom Walking Down Aisle, New Hope, PA",http://www.philamuseum.org/collections/permanent/321266.html
26,1979-50-21,"Artist/maker unknown, Dutch",,"Gift of Mrs. Francis P. Garvan, 1979",European Decorative Arts and Sculpture,1700-1780,"8 1/2 × 8 3/8 inches (21.6 × 21.3 cm)
Thickness: 1 1/8 inches (2.8 cm)","Made in Netherlands, Europe",326509,Currently not on view,Red clay with buff-colored slip decoration,,Floor Tile,http://www.philamuseum.org/collections/permanent/326509.html
27,1941-58-6,"Toyohara Chikanobu (Yōshū), Japanese, 1838 - 1912. Published by Hasegawa Tsunejirō, 5 banchi Kaji-chō, Kanda-ku, Tokyo.",,"Gift of the heirs of Mrs. William D. Frishmuth, 1941","Prints, Drawings, and Photographs",1896,Ōban tate-e triptych: 14 1/2 x 9 3/4 inches (36.8 x 24.8 cm),"Made in Japan, Asia Period: Meiji Period (1868-1912)",195009,Currently not on view,Color woodcut triptych,Tokugawa (?) jidai kifujin no sugata (?),Ladies of the Tokugawa (?) Period,http://www.philamuseum.org/collections/permanent/195009.html
28,1971-117-33(458),"Edward S. Curtis, American, 1868 - 1952. Printed by Suffolk Engraving & Electrotyping Co., Cambridge.",,"Purchased with funds contributed by the American Museum of Photography, 1971","Prints, Drawings, and Photographs",1923,"Image: 11 7/16 x 15 1/2 inches (29.1 x 39.4 cm)
Sheet: 17 3/4 x 22 inches (45.1 x 55.9 cm)","Photograph taken in United States, North and Central America",264048,Currently not on view,Photogravure,"Plate 458 from The North American Indian, Supplementary Portfolio 13",The Klamath Hunter,http://www.philamuseum.org/collections/permanent/264048.html
29,1985-52-18977,"Adolph Schroedter, German, 1805 - 1875. Published by Julius Buddeus, Düsseldorf, active early 19th century.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1840,"Plate: 8 11/16 x 10 3/8 inches (22 x 26.4 cm)
Sheet: 14 7/16 x 10 15/16 inches (36.7 x 27.9 cm)","Made in Düsseldorf, North Rhine-Westphalia, Germany, Europe",15836,Currently not on view,Etching,"Plate from Album deutscher Künstler in Original-Radirungen (Düsseldorf: Julius Buddeus, 1840)",Baron von Münchhausen's Duck Trap,http://www.philamuseum.org/collections/permanent/15836.html
30,1965-24-1,"Artist/maker unknown, American",,"Gift of Mrs. John B. Cleaveland and Dr. and Mrs. Robert P. Coleman, 1965",Costume and Textiles,1910-1920,8 1/2 x 6 3/4 inches (21.6 x 17.1 cm),"Made in United States, North and Central America",128588,Currently not on view,Beading with scalloped design,,Woman's Beaded Bag,http://www.philamuseum.org/collections/permanent/128588.html
31,1965-86-6761,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","May 6, 1943",Image and sheet: 9 15/16 × 7 15/16 inches (25.2 × 20.2 cm),"Photograph taken in New York, New York, United States, North and Central America",242931,Currently not on view,Gelatin silver print,,Hugh Laing and Alicia Markova as Romeo and Juliet,http://www.philamuseum.org/collections/permanent/242931.html
32,1952-61-117,"Kurt Schwitters, German, 1887 - 1948","© Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","A. E. Gallatin Collection, 1952",European Painting,c. 1921,15 x 8 1/4 x 2 1/2 inches (38.1 x 21 x 6.4 cm),"Made in Germany, Europe",53863,"Gallery 180, Modern and Contemporary Art, first floor","Assemblage: painted wood, wire mesh, cardboard, paper",,Merz Construction,http://www.philamuseum.org/collections/permanent/53863.html
33,1966-80-2,"Keith Achepohl, American, born 1934",,"Purchased with funds contributed by Robert A. Hauslohner, 1966","Prints, Drawings, and Photographs",Early 1960s,"Plate: 22 x 12 1/8 inches (55.9 x 30.8 cm)
Sheet: 25 x 15 1/2inches (63.5 x 39.4cm)","Made in United States, North and Central America",62466,Currently not on view,Color etching and aquatint,,Singer,http://www.philamuseum.org/collections/permanent/62466.html
34,2014-114-1(4),"Roy Lichtenstein, American, 1923 - 1997. Poem by Allen Ginsberg, American, 1926 - 1997. Printed with Albert Dupont, collaborative printer, French, active 20th century. Printed at Atelier Dupont-Visat, l'Inéditeur, Paris. Published by Les Éditions du Solstice, Paris.",,"Gift of Ruth Fine, 2014","Prints, Drawings, and Photographs",1992,"Image: 10 15/16 × 14 13/16 inches (27.8 × 37.6 cm)
Sheet: 13 7/8 × 18 15/16 inches (35.2 × 48.1 cm)","Printed in Paris, France, Europe",331075,Currently not on view,Color etching and aquatint,From the portfolio La Nouvelle Chute de l'Amérique,"Illustration for ""Or Automnal: Arrière-Saison en Nouvelle Angleterre""",http://www.philamuseum.org/collections/permanent/331075.html
35,2001-62-990,"Roger Parry, French, 1905 - 1977",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1930-1931,"Image and sheet: 6 15/16 x 9 5/16 inches (17.6 x 23.6 cm)
Mount: 7 9/16 x 9 5/16 inches (19.2 x 23.6 cm)","Made in France, Europe",110017,Currently not on view,Gelatin silver print,,Untitled (Montage with Hand and Face),http://www.philamuseum.org/collections/permanent/110017.html
36,1985-52-5867,"Léon Jacque, French, born 1823. After Charles-Émile Jacque, French, 1813 - 1894.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1860,"Plate: 7 x 9 11/16 inches (17.8 x 24.6 cm)
Sheet: 8 1/16 x 10 3/4 inches (20.4 x 27.3 cm)","Made in Paris, France, Europe",4586,Currently not on view,Etching and drypoint with plate tone,La Bergerie,The Sheep Pen,http://www.philamuseum.org/collections/permanent/4586.html
37,1985-52-13002,"Domenico Ascani, Italian, active c. 1847",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1847,"Plate: 18 1/4 x 10 3/4 inches (46.4 x 27.3 cm)
Sheet: 18 7/16 x 13 9/16 inches (46.8 x 34.5 cm)","Made in Rome, Italy, Europe",24433,Currently not on view,Etching,,"""Pio Nino"" as a Child",http://www.philamuseum.org/collections/permanent/24433.html
38,1965-86-664,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","November 19, 1935",Image and sheet: 13 7/8 × 10 11/16 inches (35.2 × 27.2 cm),"Photograph taken in New York, New York, United States, North and Central America",235561,Currently not on view,Gelatin silver print,,Rose McClendon,http://www.philamuseum.org/collections/permanent/235561.html
39,1971-117-21(24),"Edward S. Curtis, American, 1868 - 1952. Printed by John Andrew & Son, Boston, founded 1869.",,"Purchased with funds contributed by the American Museum of Photography, 1971","Prints, Drawings, and Photographs",1904,"Image: 11 5/16 x 15 11/16 inches (28.7 x 39.8 cm)
Sheet: 18 5/16 x 22 1/16 inches (46.5 x 56 cm)","Photograph taken in United States, North and Central America",244398,Currently not on view,Photogravure,"Plate 24 from The North American Indian, Supplementary Portfolio Vol.1",A Hilltop Camp - Jicarilla,http://www.philamuseum.org/collections/permanent/244398.html
40,1971-111-3,"Murray Weiss, American, 1926 - 2016",,"Gift of the Volunteer Guides of the Philadelphia Museum of Art in memory of a devoted member, Catharine E. Mechem, 1971","Prints, Drawings, and Photographs",1970,"Image and sheet: 3 11/16 × 4 11/16 inches (9.3 × 11.9 cm)
Mount: 14 × 11 inches (35.5 × 28 cm)","Photograph taken in Monhegan Island, Maine, United States, North and Central America",223303,Currently not on view,Gelatin silver print,,"Monhegan Island, Maine",http://www.philamuseum.org/collections/permanent/223303.html
41,1969-231-7,"Artist/maker unknown, Indian",,"Gift of Stella Kramrisch, 1969",South Asian Art,c. 1875-1890,Sheet: 18 1/8 × 10 15/16 inches (46 × 27.8 cm),"Made in Calcutta (present-day Kolkata), West Bengal, Bengal Region, India, Asia",106675,Currently not on view,Watercolor on paper,,Krishna and Yashoda Milking a Cow,http://www.philamuseum.org/collections/permanent/106675.html
42,"1979-79-1a,b","Designed by Fulco di Verdura, Italian (born Palermo, died London, active in the United States 1934-1973), 1898 - 1978",,"Gift of Mrs. Blanche P. Levy, 1979",Costume and Textiles,1925-1935,Diameter: 15/16 inches (2.4 cm),"Made in United States, North and Central America",265356,Currently not on view,"18-karat gold, ivory, colored stones",,Earrings,http://www.philamuseum.org/collections/permanent/265356.html
43,1941-33-1,"Made by Astbury & Maddock, Trenton, New Jersey, 1875 - 1882",,"Gift of the heirs of Thomas Maddock, 1941",American Art,1876,"20 1/8 x 15 3/8 inches (51.1 x 39 cm)
Diameter: 13 1/2 inches (34.2 cm)","Made in Trenton, New Jersey, United States, North and Central America Period: Victorian",194317,"Gallery 109, American Art, first floor",Earthenware with painted decoration,,Vase,http://www.philamuseum.org/collections/permanent/194317.html
44,1980-3-34,"Arnold Rönnebeck, American (born Germany), 1885 - 1947",,"Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1980","Prints, Drawings, and Photographs",1928,"Image: 12 1/8 x 7 1/2 inches (30.8 x 19.1 cm)
Sheet: 13 3/4 x 8 3/4 inches (34.9 x 22.2 cm)","Made in United States, North and Central America",74204,Currently not on view,Lithograph,,Paramount - New York 1928,http://www.philamuseum.org/collections/permanent/74204.html
45,"1956-29-7a,b","Artist/maker unknown, American",,"Gift of Mrs. William Howard Hart, 1956",Costume and Textiles,c. 1840,9 × 2 inches (22.9 × 5.1 cm),"Made in United States, North and Central America",140620,Currently not on view,"White silk satin with white silk taffeta ribbon ties and bow; lined in white kid leather and white plain weave, bound in white silk grosgrain ribbon; smooth tan leather sole",,Woman's Shoes,http://www.philamuseum.org/collections/permanent/140620.html
46,2013-150-98,"Ruth Thorne-Thomsen, American, born 1943","Courtesy Schmidt-Dean Gallery, Philadelphia PA and the artist","Gift of Ray K. Metzker and Ruth Thorne-Thomsen, 2013","Prints, Drawings, and Photographs",1987,"Image: 4 3/4 × 3 5/8 inches (12.1 × 9.2 cm)
Sheet: 5 3/8 × 4 1/4 inches (13.7 × 10.8 cm)","Photograph taken in New Mexico, United States, North and Central America",327617,Currently not on view,"Gelatin silver print, toned",From the series Prima Materia,"Earthling, New Mexico",http://www.philamuseum.org/collections/permanent/327617.html
47,1965-86-8372,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","December 29, 1958",Image and sheet: 9 15/16 × 7 1/16 inches (25.2 × 18 cm),"Photograph taken in New York, New York, United States, North and Central America",245086,Currently not on view,Gelatin silver print,,Shelley Scott,http://www.philamuseum.org/collections/permanent/245086.html
48,2014-49-72,"Leonard Baskin, American, 1922 - 2000","© The Estate of Leonard Baskin, Courtesy Galerie St. Etienne, New York","Gift of Marc and Mi-Young Mostovoy in memory of Ira and Floretta Mostovoy, 2014","Prints, Drawings, and Photographs",c. 1962,"Plate: 17 3/4 × 14 5/8 inches (45.1 × 37.1 cm)
Sheet: 29 3/4 × 22 1/8 inches (75.6 × 56.2 cm)",,328524,Currently not on view,Etching,,The Great Tree,http://www.philamuseum.org/collections/permanent/328524.html
49,2001-62-839,"Ecce Photo, French, active early 20th century",Research inconclusive. Copyright may apply.,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1930-1931,Image and sheet: 9 7/16 x 7 3/16 inches (24 x 18.2 cm),"Photograph taken in France, Europe",111309,Currently not on view,Gelatin silver print,,Untitled (Nude Woman on Ladder),http://www.philamuseum.org/collections/permanent/111309.html
50,1985-52-35840,"Robert Nanteuil, French, 1623 - 1678",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1659,"Plate: 13 7/8 x 10 11/16 inches (35.2 x 27.2 cm)
Sheet: 14 1/16 x 10 15/16 inches (35.7 x 27.9 cm)",,5698,Currently not on view,Engraving,,"Portrait of Cardinal Jules Raymond Mazarin (born Giulio Raimondo Mazzarino,1602-1661), Duke of Rethel, Mayenne and Nevers",http://www.philamuseum.org/collections/permanent/5698.html
51,2017-219-41(10),"Joseph Pennell, American, 1857 - 1926. Printed by Frederick Goulding, British, 1842 - 1909. Published by The Society of Iconophiles, New York.",,"Gift of Fern and Hersh Cohen, 2017","Prints, Drawings, and Photographs",1904 (print); 1905 (publication),"Image: 10 5/8 × 6 1/8 inches (27 × 15.6 cm)
Sheet: 13 × 7 11/16 inches (33 × 19.5 cm)
Mount: 17 3/16 × 11 3/4 inches (43.6 × 29.8 cm)","Published in New York, New York, United States, North and Central America Made in London, England, Europe",341592,Currently not on view,Lithograph,From the portfolio Lithographs of New York in 1904,Union Square,http://www.philamuseum.org/collections/permanent/341592.html
52,2001-62-519,"Samuel Gottscho, American, 1875 - 1971",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1925-1935,"Image: 13 7/16 x 9 3/8 inches (34.1 x 23.8 cm)
Sheet: 16 3/8 x 13 7/16 inches (41.6 x 34.1 cm)","Photograph taken in Long Island, United States, North and Central America",109546,Currently not on view,Gelatin silver print,,"Windmill at Hayground, Long Island",http://www.philamuseum.org/collections/permanent/109546.html
